goodreads_book_id,tag_id,count,tag_name
2767052,11557,50755,favorites
2767052,8717,35418,currently-reading
2767052,33114,25968,young-adult
2767052,11743,13819,fiction
2767052,10064,12985,dystopian
3,30574,496107,to-read
3,11557,48220,favorites
3,11305,47478,fantasy
3,8717,44640,currently-reading
3,33114,14984,young-adult
41865,33114,16446,young-adult
41865,11305,14288,fantasy
41865,11557,11782,favorites
41865,31745,7438,vampires
41865,32989,6533,ya
2657,7457,31068,classics
2657,11557,30903,favorites
2657,30574,10108,to-read
2657,7404,6309,classic
2657,14487,4735,historical-fiction
4671,7457,32061,classics
4671,11557,20851,favorites
4671,11743,15360,fiction
4671,7404,5662,classic
4671,5207,3607,books-i-own
11870085,11557,35724,favorites
11870085,30574,17228,to-read
11870085,33114,17160,young-adult
11870085,11743,8070,fiction
11870085,32989,7943,ya
5907,11305,41786,fantasy
5907,11557,20160,favorites
5907,7457,12913,classics
5907,30574,12631,to-read
5907,11743,11206,fiction
5107,7457,22118,classics
5107,11557,16256,favorites
5107,11743,13435,fiction
5107,30574,13005,to-read
5107,7404,4104,classic
960,30574,26678,to-read
960,11743,9364,fiction
960,20939,5740,mystery
960,11557,5077,favorites
960,30358,4563,thriller
1885,7457,35772,classics
1885,11557,31163,favorites
1885,11743,11000,fiction
1885,26138,8756,romance
1885,7404,6542,classic
77203,11557,12736,favorites
77203,11743,11711,fiction
77203,30574,6342,to-read
77203,14487,3741,historical-fiction
77203,5207,2053,books-i-own
13335037,11557,28771,favorites
13335037,8717,28677,currently-reading
13335037,30574,18813,to-read
13335037,33114,17987,young-adult
13335037,10064,12165,dystopian
5470,11743,15044,fiction
5470,26837,7892,science-fiction
5470,26771,5459,sci-fi
5470,10064,5279,dystopian
5470,7404,4293,classic
7613,7457,22106,classics
7613,11743,12944,fiction
7613,11557,9277,favorites
7613,7404,4110,classic
7613,10059,2674,dystopia
48855,21689,11202,non-fiction
48855,7457,10919,classics
48855,14552,4359,history
48855,4605,4256,biography
48855,30574,3945,to-read
2429135,30574,586235,to-read
2429135,8717,19634,currently-reading
2429135,11743,10382,fiction
2429135,20939,9141,mystery
2429135,11557,9086,favorites
6148028,33114,22245,young-adult
6148028,10059,9696,dystopia
6148028,11305,8658,fantasy
6148028,26771,4997,sci-fi
6148028,30574,4625,to-read
5,11557,40087,favorites
5,11305,39330,fantasy
5,8717,17944,currently-reading
5,33114,12856,young-adult
5,30574,11909,to-read
34,11305,31618,fantasy
34,30574,15494,to-read
34,7457,7966,classics
34,11743,7187,fiction
34,5207,2770,books-i-own
7260188,8717,22558,currently-reading
7260188,11557,22416,favorites
7260188,33114,20950,young-adult
7260188,10064,11103,dystopian
7260188,11743,10208,fiction
2,30574,24549,to-read
2,8717,3516,currently-reading
2,11305,3441,fantasy
2,11557,3423,favorites
2,6857,1591,children
12232938,30574,49386,to-read
12232938,11743,8468,fiction
12232938,11557,4762,favorites
12232938,20939,2510,mystery
12232938,5207,2133,books-i-own
15881,11305,39501,fantasy
15881,11557,30279,favorites
15881,8717,22082,currently-reading
15881,33114,12691,young-adult
15881,11743,10755,fiction
6,11305,38378,fantasy
6,33114,12979,young-adult
6,11743,10249,fiction
6,14017,7472,harry-potter
